teks_bersih,label_asli,label_prediksi,benar
beli kouta tidak aktif kasih bintang bintang nol kasih wkwk,negatif,netral,False
coba pakai belum tau kembang bintang coba timbang terima kasih,positif,netral,False
uninstall aplikasi pinjam lunas terima kasih,positif,negatif,False
tolong developer baik metode bayar mengunakan qris media foto,negatif,netral,False
suka close top up game,negatif,netral,False
tahun coba fitur pinjam ek tolak mulu,negatif,netral,False
sulit daftar later,positif,netral,False
tidak scan qris,netral,negatif,False
otw dapet juta,positif,negatif,False
mudah urus cuman lambat sumpah appsnya,netral,positif,False
kenapaa yaa qris salah teknis tolong baik susah ken qris tidak gin,negatif,netral,False
bagus tidak tau uang,positif,netral,False
keren poko,netral,positif,False
gagal ngajuin pinjam,positif,netral,False
pinjam tolak tidak telat bayar menu pinjam bpkb ganti atur pinjam pake bpkb motor tidak butuh uang bayar,positif,negatif,False
aju pinjam tidak,positif,netral,False
semngt gitu,positif,netral,False
samapai baik,negatif,positif,False
coba nmr blmnya,positif,netral,False
malam baik sistem btuh dana urgent ewallet tidak praktis repot,negatif,positif,False
transaksi dm freefire ribu jamin saldo tidak saldo min,positif,negatif,False
ngelag woy,negatif,netral,False
bagus ngumpulin koin belanjain cuman block puzzle mainin notif ganggu teknis ud,positif,netral,False
later blokir gajelas tidak tunggak,positif,negatif,False
free biaya transaksi transfer bank fitur tarik kurang tolong complain live chat customer service biar kendala respon cepat,positif,negatif,False
bayar admin doang,positif,netral,False
gabisa login min tulis internetnya mati jaring lancar coba jangan bikin kecewa download ngalamin,netral,negatif,False
tidak akses pake data pake wifi terang gabisa akses sinyal mati tolong baik susah login pas good,positif,netral,False
bantu kurang paylater pulsa blum sedia akun terimakasih,positif,netral,False
sulit bnyak,negatif,positif,False
bikin gampang klo mo transaksi belanja,positif,netral,False
tidak transaksi kendala lupa pin tidak pin no hilang butuh bantaun solusi pin,positif,negatif,False
game hasil saldo bukan koin smua fitus,positif,negatif,False
cuman minus pinjam saldo sulit,positif,netral,False
kendala login,negatif,netral,False
bagus tidak cashback sayanh sskali,positif,negatif,False
transfer tidak baca progres saldo kurang tidak bantu,netral,negatif,False
suka tidak ribet,netral,positif,False
woi aplikasi tidak login ulang,netral,negatif,False
diskon customer,positif,negatif,False
aplikasi gajelas jaring bagus pas top up white screen gaada ujung,netral,negatif,False
tidak transfer upgrade plus lancar transaksi error,positif,netral,False
min kirim dana belum saldo ribu belum respon,positif,netral,False
knp tidak dri akun tolong kk akun blokir unistal aplikasi tolong blokir akun tidak aplikasi kasih bintang biar blokir,positif,negatif,False
not bad,positif,negatif,False
kurang bus,negatif,netral,False
pinjam dana tolak trus,positif,netral,False
voucer tolol tidak pakek,negatif,netral,False
pakai sdang kompertible fitur,netral,positif,False
bayar qris tidak dompet digital,negatif,positif,False
aplikasi taik,positif,negatif,False
cepat ringan,netral,positif,False
error transfer belum tolong bijak,negatif,netral,False
vouchernya kurang,positif,negatif,False
ganggu min tidak login,positif,netral,False
pingin aju pinjam,positif,netral,False
tenor pinjam klik,netral,positif,False
aplikasi bagus lambat proses,netral,positif,False
tidak kasih rating kasih tip,negatif,netral,False
lambat kirim,negatif,netral,False
kurang bagus tidak potong biaya ooh motong biaya,negatif,positif,False
suka pake,netral,positif,False
min nomor pake kartu ilang sandi lupa ganti no tidak masukin otp solusi min bayar belum lunas,positif,negatif,False
pinjam bagus riwayat pinjam nominal balikin belum jatuh tempo lunasin tidak hutang waktu aju butuh dana darurat blokir aju tolak alas kredit skor kurang,positif,negatif,False
tidak transfer wifi bagus error transfer tidak muly,negatif,netral,False
harga tinggi aneh promonya admin bank gede promo,positif,netral,False
pet tolong baik,negatif,netral,False
stuck bikin blank semenjak,positif,netral,False
belum bantu aju paylater pinjam syarat tidak terima knp tidak acc,netral,negatif,False
kocak bayar error,negatif,netral,False
susah saldo urgent gitu cs lambat hemmtt,negatif,netral,False
kesini males make fitur game kesini koin kecilin misi belum selesai koin kurang kurang bikin kecewa dibodohin aplikasi,negatif,netral,False
pinjam tolakk,negatif,netral,False
mlai mahal byar bli pulsa bli conter,negatif,positif,False
kenapaa aplikasi tidak ka,positif,negatif,False
bintang br coba hoax goppay hadia ulangtahun setela sara lengkap pripikasi tau ara slot modus,negatif,positif,False
layan bagus jamin aman belah aplikasi muat buru buru transaksi teknis jaring bagus coba anjing bayar pakai admin wallet potong admin baik transfer top up tolong baik,negatif,positif,False
jajan tidak dapet pinjeman murah doang,netral,positif,False
hadeh cape aing,negatif,netral,False
tarik rekening bca virtual account rp ratus ribu rupiah kamis maret transaksi tidak uang otomatis saldo knapa tidak saldo sisa saldo rp aneh rugi kareja cari uang ribu sulit narik keuantungan bawa pulang isteri hilang aplikasi tolong uang trims,positif,negatif,False
tolong biaya admin top upnya via indomaret alfamart rang bilang,positif,netral,False
aju tolok tolong apus data,negatif,positif,False
kurang baik susah proses pinjam,netral,positif,False
tidak buatin scan wallet ribet tau tidak gabisa scan qr gitu nyaman pke gopayy,negatif,netral,False
scanner lambat bikin malu stress,negatif,netral,False
pinjam bpkb nmax pilih tidak tahun gara gara tidak ajuin belum aplikasi tahun lambat aplikasi,negatif,netral,False
tidak senang biaya adminnya tidak bayar adminya rp gratis,negatif,positif,False
belum pakai skli,negatif,netral,False
waktu verifikasi plus kamera tidak yaa normal,negatif,netral,False
tidak buka kakak,negatif,positif,False
kendala ganggu teknis kirim tolong la prbaiki cepat nth,negatif,netral,False
ganggu sulit transaksi,negatif,netral,False
batas pakai coins bayar aplikasi aplikasi pilih coins pakai platform tutup kurang saldo beli,negatif,netral,False
frustasi pas uprage mode plus tidak uninstall install ulang uprege plus cepat hasil,positif,negatif,False
ketat aman ribet dikit belah hilang saldo samapi rp,positif,negatif,False
kurang puas akun bobol phak tidak tagungjawab tidak bnyak lapor komplain gd urus saldo kasih bintang krna jamin saldo,negatif,positif,False
maaf kak akun trus rusak akun rusak saldo juta trus cba akun akun uang hilang kak arah pliss modal,positif,negatif,False
bener baik,negatif,positif,False
lunas tuntas,positif,negatif,False
bagus si cuman data timbang jaring,positif,netral,False
baik ngak kendala,positif,netral,False
tidak ribet cepwt,netral,positif,False
jam isi itol pakai kartu tapcash belum isi saldo potong tolong,negatif,netral,False
tolak minimal kurang,negatif,netral,False
perhati tagih hanyar telat kada ngancam bukan orng tidak bayar kecuali telat,positif,negatif,False
seginih maff,negatif,positif,False
kasih bintang top up saldo kadang tidak akun go pay,positif,netral,False
download ken login kendala kode kirim coba kode otp dikirin bilang coba tunggu menit hadehh,negatif,netral,False
min bug unlimited claim coin party arena tolong fix min dar izin,positif,negatif,False
klo kasi bintang kasi bintang minggu mas aktivitas tidak wajar hadeh,negatif,netral,False
aplikasi suka tanpa,negatif,positif,False
interface aplikasi kadang jebak salah kurang teliti harap baik,negatif,positif,False
coba nampaknya nyaman tidak ribet,netral,positif,False
ganggu tolong,negatif,netral,False
malam takbir baik tidak transaksi,positif,negatif,False
klo pinjam ksh bintang,negatif,netral,False
top up potong gapunya hutang,positif,negatif,False
instal minggu discon,positif,negatif,False
ka nanya transfer no belum daftar no tidak aktip ngembalikan saldo,positif,negatif,False
harga paket data murah,negatif,positif,False
tidak ngisi pulsa aktivitas transfer nerima tidak tolong bantu uninstal sayang saldo,netral,negatif,False
knp aplikasi tidak buka trouble knp tlng baik,positif,negatif,False
ribet bangat,negatif,positif,False
kasih tolong bantu saldo hilang,positif,negatif,False
gabisa transfer livin,negatif,netral,False
aplikasi berat force close cari alami tidak nyaman,negatif,netral,False
data lengkap maaf tidak pinjam platform tidak menu hapus akun otomatis data jangan sebar salahgunakan data tagih nama tidak tanggung tidak segan lapor wajib detik unistal aplikasi terimakasih,netral,negatif,False
sukaa potong saldo,negatif,positif,False
ganggu mulu asa,negatif,netral,False
aplikasi fintech benchmark bayar qris berat kalah aplikasi belah buka kamera qris ringan tidak berat,negatif,netral,False
alami ganggu,negatif,netral,False
aju pinjam napa tidak,positif,negatif,False
coba dluyaa,negatif,netral,False
bayar tpt waktu belum japo jga setor bkn nyah bagus mlh tolak sayang klw tolak jng adakan limit,negatif,positif,False
ken bonus dm mobile legend tak dapet,positif,negatif,False
curi ribu tetep kasih bintang bagus,positif,netral,False
ngak login tolong kasih tau,positif,netral,False
tolong kasih limit gopaylater,negatif,positif,False
biaya admin top up mahal,negatif,positif,False
kecewa respon lambat,positif,negatif,False
gopaylater lunas tagih tolong limit kunci tidak tanggung tipu retas terima kasih,positif,negatif,False
aplikasi saldo hilang ribu bukti bayar tokopedia tidak transaksi aplikasi tokopedia,positif,negatif,False
lumayan bagus sayang pinjm tidak,netral,positif,False
aplikasi bagus klaim koin respon telat notifikasi pas tari dana game tidak respon notifikasi,positif,negatif,False
bintang firstly,positif,netral,False
aplikasi buka tolong bantu,positif,netral,False
tampa trus kendala tolong baik,negatif,netral,False
parah pnjaman sllu tolak,positif,negatif,False
bantu apknya,netral,positif,False
baik aktifitas tidak wajar kecewa saldo kgak kepake saldo sengaja kasih bintang biar muncul baca,positif,negatif,False
rispek ama nama jujur,positif,netral,False
tidak tipu,positif,negatif,False
tidak download kosong simpan kosong simpan,negatif,positif,False
alami tranksaksi gagal,negatif,netral,False
tolong akun deteksi aktivitas tidak wajar saldo tidak pake tolong baik tidak tindak aplikasi deteksi aktivitas tidak wajar bintang muncul cepat respon,positif,negatif,False
kadang aplikasi lambat wat beli,positif,negatif,False
kasih bintang bagus bintang,netral,positif,False
pake sinyal ngak pake wifi daftar,negatif,netral,False
mksdnya skrng tidak isi money hapenya gada nfc,negatif,netral,False
bintang gaass,positif,netral,False
kasih bintang biar cepat respon knapa tidak beli pulsa paket isi token pln bayar bpjs ni error tampil nunggu antri jam malam antri segitu jam saldo isi gin tidak top up baik perhati,positif,negatif,False
tenor kurang,positif,netral,False
harga murah akun deteksi aneh pas cek tidak aneh pas aman tidak bayar aplikasi,positif,negatif,False
bug dikit ganggu teknis mhon tingkat bos,netral,negatif,False
stop judol bintang kasih bintang bintang tenxi,negatif,netral,False
kenap syh tidak peripikasi wajah syh buka pinjam kendala tidak buka peripikasi wajah tidak buka,positif,negatif,False
asalamualaikum kog tidak,negatif,netral,False
aplikasi tipu isi ulang mm tidak aplikasi gamenya,positif,negatif,False
tidak akses pinjam later tolong bantu acc biar fitur transaksi,negatif,positif,False
ngebug klaim saldo dri hadiah tidak sma sekli,positif,negatif,False
ngelag jaringanya muat masyaallah abad,positif,netral,False
coba aplikasi,positif,netral,False
gila top up wdp mlbb dapet cashback full top up cuman rp doang sukses,positif,negatif,False
tes coba copy bagus tidak mudah mudah dolar,negatif,positif,False
paylater blum diaktifin,positif,netral,False
bantu kak aplikasi tidak transaksi terang lintas tidak wajar,positif,negatif,False
tolong bantuin pet tidak,negatif,netral,False
rusak kartu,positif,negatif,False
pinjam cair,negatif,positif,False
tidak transfer urgent tolong maintenance server baik,negatif,netral,False
lelet akun istirahat,negatif,netral,False
keilangan uang,negatif,positif,False
ambil dana,positif,netral,False
ngeleg sumpah pas buka kamera engga,negatif,netral,False
dana kyk ngembaliin beelian proses kyk mas zaman batu kuno,negatif,positif,False
kasih bintang akun say gacor terima kasih,netral,positif,False
rubynya gabisa dipake aneh bener aplikasi ganiat bikin aplikasi kah,netral,negatif,False
bagus wow,negatif,positif,False
baik bayar telat gara baik,positif,negatif,False
ksih bintang susah transfer cris,positif,netral,False
bagus tampil versi,negatif,netral,False
login bangett,netral,positif,False
tolong benerin developer saldo kemaren gajelas sumpah,positif,negatif,False
buruk layananya,negatif,positif,False
upgrade plus upload data bner,positif,negatif,False
kasi bintang voucher cashback tidak cashback penuh syarat langkah langkah tunggu cashback tidak dpt harap baik aplikasi ama admin akun tidak akun rusak,netral,negatif,False
baik top up money ngisi hasil gilir pas cek saldo tidak ngisi money ganggu teknis trus,positif,negatif,False
absen coins tidak biadab,negatif,netral,False
aplikasi tidak bagus saldo tb kurang transaksi scroll tiktok tb saldo kurang jamin saldo tidak nerima saldo nyesal percaya,netral,negatif,False
tolong ubah pin lupa no wa no tidak aktif kait email,negatif,netral,False
pakai kecuali,negatif,positif,False
tidak jual pulsa data,negatif,positif,False
top up diamond mobile legends gagal solusi transaksi,netral,negatif,False
tidak paylater,negatif,netral,False
proses cair pinjam susah aju,positif,netral,False
aplikasi rusak minus top up transfer bnyak tidak ewalet tidak aman saranin jangan pake minus tidak aman,positif,negatif,False
transaksi blum pinjam,negatif,netral,False
gampang tida ribet,positif,netral,False
moga manfaat sahabat,negatif,positif,False
moga bantu aktifitas,netral,positif,False
sngat cpat,netral,positif,False
knp tidak buka goopay dana oi bls lahh oi knp bilang jaringa tidak bagus na bagus ji oi astaga usaha oi,negatif,positif,False
lm pakai aplikasi ksh limit go paylater tb limit review ktnya limit jd turun blokir review aneh hapus limit ribet aplikasi,negatif,positif,False
limit paylater tidak isi pulsa pinjam tidak sitarik,negatif,netral,False
pet ero,positif,netral,False
tolong admin hadiah liga emas block puzzle copay coin blum akun sehat bantu terima kasih,positif,netral,False
suka error pas bayar jeda menit oi coba cepet detik buru,negatif,netral,False
maintenance parah,negatif,netral,False
tidak pinjam pinjam bpkb tidak biar hpus akun,negatif,netral,False
pas beli wdp rupiah muat hilang coba hasil tidak beli error muat gilir riset hilang,positif,negatif,False
aplikasi jlk ngeleg mulu kadang suka error,negatif,netral,False
transfer sea bank belum,negatif,netral,False
coin wartakjil belum coin,negatif,netral,False
kendala isi ulang,negatif,netral,False
samsung galaxy main,positif,netral,False
gppay tidak nerima uang,negatif,positif,False
baguss kemarin pas isi saldo tidak nama nama akun,positif,negatif,False
mudah pinjam mudah blacklist telat bayar lunas emejing,negatif,positif,False
mantap aplikasi mm bantu,netral,positif,False
download dapet,positif,netral,False
aju akunbpremium tolak klo sydah kasih bintang,negatif,netral,False
kdang sistem error ganggu genting,positif,negatif,False
keres kirim bukti otomatis,positif,negatif,False
ui jelek user experience bingung tolong dibenerin woy ui ux,negatif,positif,False
aplikasi byk error ny sumpah beli pulsa ribet jirt,negatif,positif,False
ganggu jam sore selesai tolong cepat,negatif,netral,False
kadang kode verifikasi pesan terkadang tidak muncul,positif,netral,False
transaksi tidak pernh acc mnding uninstall bnyak ewallet lbih baik,negatif,netral,False
ngapa gabisa gunain si lebaran,positif,negatif,False
tolong lagih sistem kemarin telanjur salah pencet pinjam rp langgan awam telanjur tanda tangan tidak pinjam situ lanjur proses jam otomatis cair bank mandiri bayar tagih kenapah bunga tinggi sisa lagih tolong benah lagih nama ripal harlan,positif,negatif,False
susah nf nyaa,negatif,positif,False
aplikasi error,positif,negatif,False
tolong fitur digopay hapus akun transfer org cari tidak menu cari tolong cepat iyaa,negatif,netral,False
pet jaring browsing lancar game lancar buka pet busuk cuman layar gelap baik pet hapus,negatif,netral,False
bug bagus,positif,netral,False
aplikasi sulit premium olah sulit,negatif,positif,False
tolong hidupin akun gopartner,positif,netral,False
neng pakai cuman pinjam pinjam limit tidak,positif,netral,False
males pakai aplikasi,negatif,positif,False
kesel isi pln tidak promo habis tidak promo cuman beli pln habis tidak beli,positif,netral,False
pinjam tidak digunakqn,negatif,netral,False
woi gopayy ni akun beli wdp chasback tidak uang kasih bintang biar liat,positif,negatif,False
aneh diskon pas tunggu jam pas ganti gabisa pake,netral,negatif,False
kecewa saldo later cicil pinjam limit juta skrng juta gara telat bayar denda tolong descall jaga omong maki tidak sopan pakai limit turun lunas uninstal kecewa,negatif,netral,False
kouta gb rupiah pulsa isi bayar aduh tagih,positif,netral,False
transfer uang bca jam malam jam subuh belum rekening tolong,negatif,netral,False
pinjam ringan tidak acc,negatif,positif,False
nggk bayar pakai qr,negatif,positif,False
lambat min,positif,netral,False
kecewa sa at butuh gin pake kecewa in isi ulang belum sdikit kemaren lumayan kecewa bank hasil ngk,negatif,netral,False
mn hadiaah jngn bohing,positif,negatif,False
tidak kasih uang hrusnya minimal ribu,positif,netral,False
top up hasil tap cash saldo enggak,netral,negatif,False
kasih bintang bang winda basudara,positif,netral,False
tolong banyakin hadiah,netral,positif,False
ganggu teknis mulu game puzzlenya kadang pencet sinyal bagus gitu mabar susah ganggu,negatif,netral,False
tolong aplikasi tingkat undang temen daftar komisi tidak,negatif,netral,False
aplikasi siru dlm sehri biso ngsh notifikasi aplikasi pengguno ngeraso teganggu,negatif,positif,False
aplikasi bengak error,negatif,netral,False
perbaikin aman kadang top up game tanpa masukin pin,negatif,netral,False
coba pinjam pinjam pinjam aju cepet bayar waktu telat data jelek tidak pinjam platpom sayang aplikasi bagus aman data kurang kasih bintang puas orng ajar,positif,netral,False
kasih bintang pas mencet heran tolong baik,positif,netral,False
tolong foto hapus tidak,positif,negatif,False
uang tahan belum,negatif,netral,False
parah nyuruh perangkat pas perangkat nmr teman teman cari dompet digital nyaman jgn pakai tidak,negatif,positif,False
aplikasi bagus kasih bintang cuman knpa skrg buka ngak,positif,netral,False
min tolong top up potong,negatif,netral,False
tidak buka baharu tidak jadul bimbing,positif,negatif,False
lambat wifi sinyal bagus pas transaksi ampun,negatif,netral,False
min transfer saldo isiny semalem transfer,netral,negatif,False
kendala ganggu pulih,positif,negatif,False
tahun pake pinjam kecewa bayar tagih jatoh tempo knp saldo bayar tidak langgan tahun bayar digopay,positif,netral,False
tak alam,positif,netral,False
keamananya kurang,negatif,netral,False
ngapain adain fitur pinjam sulit,netral,positif,False
gembel plit klo pijem pilih kasih babet,negatif,positif,False
lumayan mudah,negatif,positif,False
woy aplikasi berat semalem bayar qris gakbisa close force trus tolong jangan aplikasi oren berat buka ngelag ngelag,negatif,netral,False
pelit masak even pet hadiah rangin,netral,negatif,False
ribet aju pinjam,positif,negatif,False
lumayan sulut plus,positif,netral,False
sabtu maret lunasin tagih pinjam hapus akun pinjam tidak minjem akun pinjam hapus permanen aplikasi suryana tagiri terima kasih,positif,netral,False
transaksi gagal isi pulsa,netral,negatif,False
akun logout,positif,negatif,False
coba baik pake saldo gabisa,negatif,netral,False
gopaynya aneh klo cek in coinnya tidak tambahin curang jd malas curang main,positif,netral,False
aplikasi sinyal full bilang ganggu jaring,negatif,netral,False
aplikasi maksa iklan man tolong pas buka capcut iklan trus teleport tolong iklan ilangin woi muak iklan plis tolong hilang iklan,positif,negatif,False
transaksi pakai aplikasi harap aplikasi sistem tidak kecewa keluh aplikasi keluh kurang saldo akun tidak buka ragu ragu,netral,negatif,False
misi klw hilang saldo trus ktp akun tolong jwb,positif,negatif,False
pake saldo aman saldo suka balikin,positif,netral,False
isi data seluler proteksi ribu,negatif,netral,False
bug coin tidak bayar pakai coin,positif,netral,False
tidak pakai uang situ,positif,negatif,False
bagus fitur scan berat gila transaksi pakek qris susah tolong baik,negatif,positif,False
pakai playleter dn dana pinjam tidak aju pk pinjam dn tidak aktif leter tuna playleter dn dana pinjam,negatif,positif,False
kurang bagus login nunggu jam bintang ny,positif,negatif,False
tolong transferny muat belum proses,negatif,netral,False
aplikasi suka murah dapetin salo juta gacha kasih bintang,positif,netral,False
bnyk hadiah,positif,netral,False
maaf wdp gratis rupiah pas pencet elor mulu akun harap mlh pas pencet elor kecewa,netral,negatif,False
aplikasi bagus cuman upgrade plus kamera verifikasi ktp tidak developer baik,positif,netral,False
dompet digital bokbrok ganggu nyesel isi,negatif,positif,False
min ganti no no kartu ilang tidak login haru verifikasi bantu min,positif,negatif,False
tolong cepet baik transfer wallet mo ngirim orng susah,netral,negatif,False
tidak klaim link thr upgrade plus payah,negatif,netral,False
coins ngestag,positif,netral,False
bintang belum transaksi,netral,positif,False
baik tidak premium,positif,netral,False
tolong biaya didik tambahin kampus universitas buka ut,positif,netral,False
aplikasi coba error dev,negatif,netral,False
pinjam kw data lengkap tidak verifikasi,negatif,netral,False
kasih bintang ntar transfer susah ganti,positif,netral,False
aplikasi tidak mololoskan spylayter aplikasi bagus iklan tidak sesuai mersa tidak puas,negatif,positif,False
ringan aplikasi moga servernya stabil,positif,netral,False
aju pinjam tolak ngapai notif akun driver driver gocar pinjam bua hura usaha kecewa tidak kait males pake,negatif,netral,False
aplikasi malak bayar bayar pajak,negatif,positif,False
mudah cuman sayang fitur pinjam slalu tolak driver otomatis pake pinjam bpkb mobil thn tidak,positif,netral,False
tolong pinjam telat olah telat minggu bayar denda telat tidak nomor chat maki maki kasar ngancam jual data usaha bobrok kah perbaikin parah parah kasih bintang biar liat,positif,negatif,False
dahh updated mas bburik pas mw transfer lag jaring lancar,positif,netral,False
bintang kecewa transaksi kedalanya benerin napa emang tidak nungguin jam transaksi,netral,negatif,False
kasih bintang ufgraf potocopi,positif,netral,False
ckp bagus sk error sometimes,positif,netral,False
bingung transfer tidak nama id kirim tera dompet anak bangsa coba kek dana tu si kirim nama id lengkap,negatif,netral,False
terimah kasi,positif,netral,False
berat aplikasi jengkel buka qr maaf kentang timbang spesifikasi rendah,negatif,netral,False
tolong baik kemarin susah verifikasi tolong cepat,positif,netral,False
ganggu tidak reward pet tidak ganti akun,negatif,netral,False
tahun layan layan pinjam tempo tenor cicil maksimal tenor cicil,positif,netral,False
maaf kasih bintang aju pinjam later akun tolak jdi kasih bintang harap timbang ambil pinjam pinjam terima kasih,negatif,netral,False
apan top up diamon ml diamon tidak akun chat costumer service tidak leluasa komentar,netral,negatif,False
diupdate rusak tidak buka aplikasi hancur,negatif,netral,False
blum lm pake aplikasi kyaknya bagus mantab,netral,positif,False
qris error log out,negatif,netral,False
aplikasi kirekk,negatif,positif,False
bagus coba tukar kode coin anggap kadaluarsa dapet,positif,negatif,False
akun baik percaya aman,netral,positif,False
bintang bagus,positif,netral,False
anj scammer isi dm ngak id bener nama akun bayar ngak isi dm balikin saldo cepet,positif,negatif,False
baik pulsa puluh ribu,positif,negatif,False
tidak upgrade plus,netral,negatif,False
baharu gabisa buka yaa,positif,netral,False
akun tera jaring putus internet lancar,negatif,netral,False
not so bad,netral,negatif,False
baik sistem lambat tidak pakai,positif,negatif,False
pet tidak mainin layar hitam,positif,negatif,False
lambat pdahal sinyal bagus lambat,negatif,netral,False
tidak dapet coins si,negatif,netral,False
admin gopaybank fitur gratis isi ulang transfer aplikasi baik indomaret alfamart bank atm bri bca bni mandiri dll alfamidi minimarket dll mudah proses jalan tabung tanpa atm tolong fitur layan ppob bintang tanggap,positif,netral,False
lambat mulu ni aplikasi,negatif,netral,False
pinjam nyah jangan ribet tidak muter muter tingal sarat nyah nomer aktip nyah,positif,negatif,False
tolong tidak claim bonus liga koin hadiah tukerin kode engga,positif,netral,False
kasi bintang la belum lolos,positif,netral,False
erti tidak tele,positif,netral,False
error login fitur bantu kendala bantu tolong tingkat baik,negatif,positif,False
woi ganggu,netral,negatif,False
apikasi bagus cman sayang koin tidak pake koin hasil rewad tidak pake percumah game kucing rewad koin tidak dipake sma,negatif,positif,False
tidak daftar aplikasi tolong bos bobol tanpa tolong baik saldo saldo akun kasih bintang tidak baik akun tolong bantu bos tidak bantu baik resin aplikasi kurang aman tolong bantu bos,negatif,netral,False
erorkahh akun gabisa transfer saldo jga kak,netral,negatif,False
kasih makan kucing,netral,positif,False
ak suka,positif,netral,False
bintang trimaksh respon salah sangka baik,positif,netral,False
benernya ngebug uang gabisa tarik tolong proses biar cepet baik,positif,negatif,False
uang bayar aplikasi tlol,negatif,positif,False
coba promo wdp rupiah dri aplikasi buka promo tidak login koin tidak kurang,negatif,netral,False
bantu adanyaa cumaa survey ribu belum cair min isi survey,positif,negatif,False
tolong perbaikin pas top up game tulis aktivitas tidak wajar biar cek tolonf perbaikin,negatif,netral,False
transaksi ribet,negatif,positif,False
pakai edit lancar,netral,positif,False
kadang suka ganggu transaksi males kadang pakai,negatif,positif,False
aplikasi bagus alam pribadi pinjam telat bayar tagih baik rama terima kasih,positif,netral,False
bagus mutu,negatif,positif,False
akun blok bnyak saldo,negatif,positif,False
kurang layan,negatif,positif,False
tolong baik top up game free fire id akun,netral,negatif,False
pet jelek tidak imup upgrade imut gemas,positif,negatif,False
ribsr nongol,negatif,positif,False
kurng coin berkurng hilang set updet aplikasi,negatif,netral,False
bayar waktu bayar lunas lunas ngak pinjemin,netral,negatif,False
moga tidak kek dana bobol mulu,positif,netral,False
tahap pakai,positif,netral,False
kutang bagus,negatif,positif,False
nyesel pas waktu download bukan bagus jelek kurang,netral,negatif,False
tolong belum milik ktp narik yangg pakek data yaallah tolong kembang yahh,negatif,positif,False
tidak terima saldo via dana belum,netral,negatif,False
muas transfer potong beda dana,positif,negatif,False
maaf tidak transaksi,netral,negatif,False
bagus kasih bintang kemaren kemaren mudah beli paket cling bln kavision skrng susah payment jd ribet,positif,netral,False
ganguan barkot error baik,positif,netral,False
bos enggk buka bantu,positif,negatif,False
klw dpt reward bnyk,positif,netral,False
isi pulsa discam,negatif,positif,False
mulu jarang pake,negatif,netral,False
aplikasi ganggu mulu bikin emosi poko teliti pake aplikasi suka salah ngirim,positif,negatif,False
lambat transaksi jd lambat,negatif,positif,False
potong an admin tidak dana,negatif,netral,False
saldo ter refund nda saldo,negatif,netral,False
ganggu mulu tolong cepat makan susah ni,positif,netral,False
pake jdi cepat mw bayar,positif,netral,False
fitolak untik upgrade,positif,negatif,False
buka bikin lambat panas kumat stuck logo hapus unduh ulang aplikasi,netral,negatif,False
gagal transaksi,negatif,positif,False
tolong hapus aplikasi dunia digital ribet proses tari proses barcode,negatif,positif,False
beli voucher tidak pake pas bayar,negatif,netral,False
maaf ka saldo top up jta tidak pasuk limit saldo hilang,positif,negatif,False
